as_of_date,store_id,product_id,horizon,window_days,error_std,valid_error_count,std_source,model_version,calculated_at
2024-01-06,S001,P0003,3,90,58.46404803216309,10,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S001,P0003,3,90,61.412311843522666,11,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S001,P0003,3,90,58.83575103429746,12,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S001,P0003,3,90,57.316537112266225,13,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S001,P0003,3,90,55.10433243013503,14,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S001,P0003,3,90,53.12492142428908,15,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S001,P0003,3,90,51.73576242177237,16,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S001,P0003,3,90,50.30586445303684,17,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S001,P0003,3,90,49.011020907998905,18,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S001,P0003,3,90,48.078143649334926,19,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0003,3,90,46.799008670399964,20,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S001,P0003,3,90,46.112854695243236,21,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0003,3,90,45.322593387456195,22,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0003,3,90,44.35420132453806,23,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0003,3,90,45.21534866133179,24,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0003,3,90,44.74344798570833,25,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0003,3,90,46.05846576855838,26,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0003,3,90,52.692007623485715,27,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0003,3,90,52.12123618894897,28,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0003,3,90,51.973014131120905,29,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S001,P0003,3,90,51.63710447684803,30,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S001,P0003,3,90,55.02735535566666,31,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S001,P0004,3,90,1.0,1,fallback_1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0004,3,90,3.116457413026958,2,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0004,3,90,7.704558435056415,3,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S001,P0004,3,90,6.31613726924873,4,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S001,P0004,3,90,6.448291071886968,5,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S001,P0004,3,90,6.797426738017534,6,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S001,P0004,3,90,18.442527120780184,7,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S001,P0004,3,90,17.302413219705635,8,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S001,P0004,3,90,18.221185210755895,9,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S001,P0004,3,90,21.518380933486053,10,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S001,P0004,3,90,20.87936789298972,11,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S001,P0004,3,90,32.142211316375516,12,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S001,P0004,3,90,36.777059539003965,13,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S001,P0004,3,90,39.234319880713166,14,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S001,P0004,3,90,40.89152038434209,15,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S001,P0004,3,90,41.290202259319294,16,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S001,P0004,3,90,40.39941520428364,17,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S001,P0004,3,90,40.40166667935453,18,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S001,P0004,3,90,39.28343240458843,19,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0004,3,90,38.90443905086897,20,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S001,P0004,3,90,38.03648523177783,21,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0004,3,90,38.221744091682744,22,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0004,3,90,39.90647778760784,23,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0004,3,90,39.060204735479196,24,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0004,3,90,41.58515998989384,25,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0004,3,90,40.97053707602728,26,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0004,3,90,41.247945770045035,27,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0004,3,90,41.09257042397815,28,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0004,3,90,40.35792719386275,29,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S001,P0004,3,90,39.7788216596321,30,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S001,P0004,3,90,39.11028986028981,31,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S001,P0005,3,90,1.0,1,fallback_1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0005,3,90,19.300998516900595,2,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0005,3,90,14.842335324380489,3,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S001,P0005,3,90,47.01296098451932,4,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S001,P0005,3,90,40.86866237784486,5,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S001,P0005,3,90,37.67398062814896,6,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S001,P0005,3,90,35.96691928196815,7,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S001,P0005,3,90,51.08918285550205,8,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S001,P0005,3,90,49.378541104453035,9,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S001,P0005,3,90,47.10411804247715,10,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S001,P0005,3,90,47.7775308830862,11,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S001,P0005,3,90,48.47886139300793,12,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S001,P0005,3,90,46.6752827346721,13,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S001,P0005,3,90,46.42644182855802,14,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S001,P0005,3,90,44.77423232430177,15,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S001,P0005,3,90,43.51716765362478,16,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S001,P0005,3,90,44.3622142761534,17,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S001,P0005,3,90,45.2250115001449,18,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S001,P0005,3,90,46.384729229095214,19,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0005,3,90,45.5708236359453,20,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S001,P0005,3,90,46.1514351198437,21,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0005,3,90,45.640980489052055,22,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0005,3,90,44.89219232363085,23,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0005,3,90,47.03800768201491,24,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0005,3,90,46.56973299924576,25,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0005,3,90,46.189788174429765,26,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0005,3,90,45.299006185419394,27,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0005,3,90,45.221635188423605,28,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0005,3,90,44.45065095639897,29,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S001,P0005,3,90,44.051970750828424,30,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S001,P0005,3,90,43.82424009189363,31,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S001,P0006,3,90,1.0,1,fallback_1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0006,3,90,20.13506762479585,2,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0006,3,90,14.569188232770719,3,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S001,P0006,3,90,33.993807071617674,4,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S001,P0006,3,90,29.515444074013597,5,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S001,P0006,3,90,26.679062646975783,6,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S001,P0006,3,90,24.608967382553224,7,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S001,P0006,3,90,22.90487643761583,8,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S001,P0006,3,90,21.723248054697493,9,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S001,P0006,3,90,20.49433595830521,10,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S001,P0006,3,90,23.647751804715806,11,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S001,P0006,3,90,23.61631242647923,12,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S001,P0006,3,90,22.888282541016352,13,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S001,P0006,3,90,24.74245378642954,14,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S001,P0006,3,90,25.742145489089214,15,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S001,P0006,3,90,26.382356628607525,16,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S001,P0006,3,90,26.29230029294192,17,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S001,P0006,3,90,25.50995572587427,18,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S001,P0006,3,90,24.797138688085223,19,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0006,3,90,24.487133331453858,20,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S001,P0006,3,90,23.980241376609108,21,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0006,3,90,24.893181845149254,22,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0006,3,90,24.333844359047486,23,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0006,3,90,25.976584528023153,24,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0006,3,90,28.269746392297584,25,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0006,3,90,28.179723644403907,26,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0006,3,90,31.713758444554465,27,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0006,3,90,31.157326943262706,28,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0006,3,90,30.689216642665336,29,calculated,ensemble_v2,2026-07-13T07:06:13.058276
